2026-02-18 16:53:54 | ERROR    | src.data.validation                 |   ERROR   | Missing required columns: ['age', 'loan_amount', 'credit_score', 'employment_years', 'debt_ratio', 'num_accounts', 'employment_type']
2026-02-18 16:53:54 | WARNING  | src.data.validation                 |   WARNING | Severe class imbalance: positive_rate=0.00%. Consider SMOTE, class_weight='balanced', or resampling.
2026-02-18 16:53:54 | INFO     | src.data.validation                 | Validating data  [240 rows × 8 cols]
2026-02-18 16:53:54 | INFO     | src.data.validation                 | Validation passed.
2026-02-18 16:53:54 | INFO     | src.features.feature_engineering    | Running feature engineering on training data …
2026-02-18 16:53:54 | INFO     | src.features.feature_engineering    | Feature engineering complete — 6 new columns: ['loan_to_income', 'income_per_account', 'credit_tier', 'age_bracket', 'high_risk_flag', 'employment_stability']
2026-02-18 16:53:54 | INFO     | src.features.feature_engineering    | Running feature engineering on training data …
2026-02-18 16:53:54 | INFO     | src.features.feature_engineering    | Feature engineering complete — 6 new columns: ['loan_to_income', 'income_per_account', 'credit_tier', 'age_bracket', 'high_risk_flag', 'employment_stability']
2026-02-18 16:53:54 | INFO     | src.features.feature_engineering    | Running feature engineering on training data …
2026-02-18 16:53:54 | INFO     | src.features.feature_engineering    | Feature engineering complete — 6 new columns: ['loan_to_income', 'income_per_account', 'credit_tier', 'age_bracket', 'high_risk_flag', 'employment_stability']
2026-02-18 16:53:54 | INFO     | src.features.feature_engineering    | Running feature engineering on training data …
2026-02-18 16:53:54 | INFO     | src.features.feature_engineering    | Feature engineering complete — 6 new columns: ['loan_to_income', 'income_per_account', 'credit_tier', 'age_bracket', 'high_risk_flag', 'employment_stability']
2026-02-18 16:53:54 | INFO     | src.features.feature_engineering    | Running feature engineering on training data …
2026-02-18 16:53:54 | INFO     | src.features.feature_engineering    | Feature engineering complete — 6 new columns: ['loan_to_income', 'income_per_account', 'credit_tier', 'age_bracket', 'high_risk_flag', 'employment_stability']
2026-02-18 16:53:54 | INFO     | src.data.preprocessing              | Fitting preprocessing pipeline …
2026-02-18 16:53:54 | INFO     | src.data.preprocessing              | Pipeline — numeric=['income', 'age', 'loan_amount', 'credit_score', 'employment_years', 'debt_ratio', 'num_accounts', 'loan_to_income', 'income_per_account', 'high_risk_flag', 'employment_stability'], categorical=['employment_type', 'credit_tier', 'age_bracket']
2026-02-18 16:53:54 | INFO     | src.data.preprocessing              | Preprocessing complete — train shape: (240, 21), test shape:  (60, 21)
2026-02-18 16:53:54 | INFO     | src.features.feature_engineering    | Running feature engineering on training data …
2026-02-18 16:53:54 | INFO     | src.features.feature_engineering    | Feature engineering complete — 6 new columns: ['loan_to_income', 'income_per_account', 'credit_tier', 'age_bracket', 'high_risk_flag', 'employment_stability']
2026-02-18 16:53:54 | INFO     | src.data.preprocessing              | Fitting preprocessing pipeline …
2026-02-18 16:53:54 | INFO     | src.data.preprocessing              | Pipeline — numeric=['income', 'age', 'loan_amount', 'credit_score', 'employment_years', 'debt_ratio', 'num_accounts', 'loan_to_income', 'income_per_account', 'high_risk_flag', 'employment_stability'], categorical=['employment_type', 'credit_tier', 'age_bracket']
2026-02-18 16:53:54 | INFO     | src.data.preprocessing              | Preprocessing complete — train shape: (240, 21), test shape:  (60, 21)
2026-02-18 16:53:54 | INFO     | src.features.feature_engineering    | Running feature engineering on training data …
2026-02-18 16:53:54 | INFO     | src.features.feature_engineering    | Feature engineering complete — 6 new columns: ['loan_to_income', 'income_per_account', 'credit_tier', 'age_bracket', 'high_risk_flag', 'employment_stability']
2026-02-18 16:53:54 | INFO     | src.data.preprocessing              | Fitting preprocessing pipeline …
2026-02-18 16:53:54 | INFO     | src.data.preprocessing              | Pipeline — numeric=['income', 'age', 'loan_amount', 'credit_score', 'employment_years', 'debt_ratio', 'num_accounts', 'loan_to_income', 'income_per_account', 'high_risk_flag', 'employment_stability'], categorical=['employment_type', 'credit_tier', 'age_bracket']
2026-02-18 16:53:54 | INFO     | src.data.preprocessing              | Preprocessing complete — train shape: (240, 21), test shape:  (60, 21)
2026-02-18 16:53:54 | INFO     | src.data.preprocessing              | Preprocessor saved ➜ /private/var/folders/_w/7d2ym6213tn9xpxkkm2nrywr0000gn/T/pytest-of-eolaw/pytest-0/test_save_and_load0/preprocessor_test.pkl
2026-02-18 16:53:54 | INFO     | src.data.preprocessing              | Preprocessor loaded ← /private/var/folders/_w/7d2ym6213tn9xpxkkm2nrywr0000gn/T/pytest-of-eolaw/pytest-0/test_save_and_load0/preprocessor_test.pkl
2026-02-18 16:53:54 | INFO     | src.data.ingestion                  | Generating synthetic loan dataset  [n=500]
2026-02-18 16:53:54 | INFO     | src.data.ingestion                  | Synthetic dataset ready — (500, 9), default_rate=41.40%
2026-02-18 16:53:54 | INFO     | src.data.ingestion                  | Split — train=400  test=100  pos_rate=41.50%
2026-02-18 16:53:54 | INFO     | src.features.feature_engineering    | Running feature engineering on training data …
2026-02-18 16:53:54 | INFO     | src.features.feature_engineering    | Feature engineering complete — 6 new columns: ['loan_to_income', 'income_per_account', 'credit_tier', 'age_bracket', 'high_risk_flag', 'employment_stability']
2026-02-18 16:53:54 | INFO     | src.data.preprocessing              | Fitting preprocessing pipeline …
2026-02-18 16:53:54 | INFO     | src.data.preprocessing              | Pipeline — numeric=['income', 'age', 'loan_amount', 'credit_score', 'employment_years', 'debt_ratio', 'num_accounts', 'loan_to_income', 'income_per_account', 'high_risk_flag', 'employment_stability'], categorical=['employment_type', 'credit_tier', 'age_bracket']
2026-02-18 16:53:54 | INFO     | src.data.preprocessing              | Preprocessing complete — train shape: (400, 21), test shape:  (100, 21)
2026-02-18 16:53:54 | INFO     | src.models.train                    | Starting model training — 2 candidates, CV=5, scoring='f1'
2026-02-18 16:53:54 | INFO     | src.models.train                    |   Training: RandomForest …
2026-02-18 16:53:56 | INFO     | src.models.train                    |   RandomForest — best_cv_f1=0.3910 (std=0.0341) | best_params={'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}
2026-02-18 16:53:56 | INFO     | src.models.train                    |   Training: LogisticRegression …
2026-02-18 16:53:56 | INFO     | src.models.train                    |   LogisticRegression — best_cv_f1=0.5073 (std=0.0316) | best_params={'C': 10.0}
2026-02-18 16:53:56 | INFO     | src.models.train                    | Best model selected: LogisticRegression  (cv_f1=0.5073)
2026-02-18 16:53:56 | INFO     | src.models.train                    | Starting model training — 2 candidates, CV=5, scoring='f1'
2026-02-18 16:53:56 | INFO     | src.models.train                    |   Training: RandomForest …
2026-02-18 16:53:57 | INFO     | src.models.train                    |   RandomForest — best_cv_f1=0.3910 (std=0.0341) | best_params={'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}
2026-02-18 16:53:57 | INFO     | src.models.train                    |   Training: LogisticRegression …
2026-02-18 16:53:57 | INFO     | src.models.train                    |   LogisticRegression — best_cv_f1=0.5073 (std=0.0316) | best_params={'C': 10.0}
2026-02-18 16:53:57 | INFO     | src.models.train                    | Best model selected: LogisticRegression  (cv_f1=0.5073)
2026-02-18 16:53:57 | INFO     | src.models.train                    | Starting model training — 2 candidates, CV=5, scoring='f1'
2026-02-18 16:53:57 | INFO     | src.models.train                    |   Training: RandomForest …
2026-02-18 16:53:59 | INFO     | src.models.train                    |   RandomForest — best_cv_f1=0.3910 (std=0.0341) | best_params={'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}
2026-02-18 16:53:59 | INFO     | src.models.train                    |   Training: LogisticRegression …
2026-02-18 16:53:59 | INFO     | src.models.train                    |   LogisticRegression — best_cv_f1=0.5073 (std=0.0316) | best_params={'C': 10.0}
2026-02-18 16:53:59 | INFO     | src.models.train                    | Best model selected: LogisticRegression  (cv_f1=0.5073)
2026-02-18 16:53:59 | INFO     | src.models.train                    | Starting model training — 2 candidates, CV=5, scoring='f1'
2026-02-18 16:53:59 | INFO     | src.models.train                    |   Training: RandomForest …
2026-02-18 16:54:01 | INFO     | src.models.train                    |   RandomForest — best_cv_f1=0.3910 (std=0.0341) | best_params={'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}
2026-02-18 16:54:01 | INFO     | src.models.train                    |   Training: LogisticRegression …
2026-02-18 16:54:01 | INFO     | src.models.train                    |   LogisticRegression — best_cv_f1=0.5073 (std=0.0316) | best_params={'C': 10.0}
2026-02-18 16:54:01 | INFO     | src.models.train                    | Best model selected: LogisticRegression  (cv_f1=0.5073)
2026-02-18 16:54:01 | INFO     | src.models.train                    | Starting model training — 2 candidates, CV=5, scoring='f1'
2026-02-18 16:54:01 | INFO     | src.models.train                    |   Training: RandomForest …
2026-02-18 16:54:03 | INFO     | src.models.train                    |   RandomForest — best_cv_f1=0.3910 (std=0.0341) | best_params={'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}
2026-02-18 16:54:03 | INFO     | src.models.train                    |   Training: LogisticRegression …
2026-02-18 16:54:03 | INFO     | src.models.train                    |   LogisticRegression — best_cv_f1=0.5073 (std=0.0316) | best_params={'C': 10.0}
2026-02-18 16:54:03 | INFO     | src.models.train                    | Best model selected: LogisticRegression  (cv_f1=0.5073)
2026-02-18 16:54:03 | INFO     | src.models.train                    | Starting model training — 2 candidates, CV=5, scoring='f1'
2026-02-18 16:54:03 | INFO     | src.models.train                    |   Training: RandomForest …
2026-02-18 16:54:05 | INFO     | src.models.train                    |   RandomForest — best_cv_f1=0.3910 (std=0.0341) | best_params={'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}
2026-02-18 16:54:05 | INFO     | src.models.train                    |   Training: LogisticRegression …
2026-02-18 16:54:05 | INFO     | src.models.train                    |   LogisticRegression — best_cv_f1=0.5073 (std=0.0316) | best_params={'C': 10.0}
2026-02-18 16:54:05 | INFO     | src.models.train                    | Best model selected: LogisticRegression  (cv_f1=0.5073)
2026-02-18 16:54:05 | INFO     | src.models.evaluate                 | Evaluating model: model  [100 samples]
2026-02-18 16:54:05 | INFO     | src.models.evaluate                 | model results — accuracy=0.5800  precision=0.6077  recall=0.5800  f1=0.5824  roc_auc=0.6618
2026-02-18 16:54:05 | INFO     | src.models.train                    | Starting model training — 2 candidates, CV=5, scoring='f1'
2026-02-18 16:54:05 | INFO     | src.models.train                    |   Training: RandomForest …
2026-02-18 16:54:06 | INFO     | src.models.train                    |   RandomForest — best_cv_f1=0.3910 (std=0.0341) | best_params={'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}
2026-02-18 16:54:06 | INFO     | src.models.train                    |   Training: LogisticRegression …
2026-02-18 16:54:06 | INFO     | src.models.train                    |   LogisticRegression — best_cv_f1=0.5073 (std=0.0316) | best_params={'C': 10.0}
2026-02-18 16:54:06 | INFO     | src.models.train                    | Best model selected: LogisticRegression  (cv_f1=0.5073)
2026-02-18 16:54:06 | INFO     | src.models.evaluate                 | Evaluating model: model  [100 samples]
2026-02-18 16:54:06 | INFO     | src.models.evaluate                 | model results — accuracy=0.5800  precision=0.6077  recall=0.5800  f1=0.5824  roc_auc=0.6618
2026-02-18 16:54:06 | INFO     | src.models.train                    | Starting model training — 2 candidates, CV=5, scoring='f1'
2026-02-18 16:54:06 | INFO     | src.models.train                    |   Training: RandomForest …
2026-02-18 16:54:08 | INFO     | src.models.train                    |   RandomForest — best_cv_f1=0.3910 (std=0.0341) | best_params={'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}
2026-02-18 16:54:08 | INFO     | src.models.train                    |   Training: LogisticRegression …
2026-02-18 16:54:08 | INFO     | src.models.train                    |   LogisticRegression — best_cv_f1=0.5073 (std=0.0316) | best_params={'C': 10.0}
2026-02-18 16:54:08 | INFO     | src.models.train                    | Best model selected: LogisticRegression  (cv_f1=0.5073)
2026-02-18 16:54:08 | INFO     | src.models.evaluate                 | Evaluating model: model  [100 samples]
2026-02-18 16:54:08 | INFO     | src.models.evaluate                 | model results — accuracy=0.5800  precision=0.6077  recall=0.5800  f1=0.5824  roc_auc=0.6618
2026-02-18 16:54:08 | INFO     | src.models.train                    | Starting model training — 2 candidates, CV=5, scoring='f1'
2026-02-18 16:54:08 | INFO     | src.models.train                    |   Training: RandomForest …
2026-02-18 16:54:10 | INFO     | src.models.train                    |   RandomForest — best_cv_f1=0.3910 (std=0.0341) | best_params={'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}
2026-02-18 16:54:10 | INFO     | src.models.train                    |   Training: LogisticRegression …
2026-02-18 16:54:10 | INFO     | src.models.train                    |   LogisticRegression — best_cv_f1=0.5073 (std=0.0316) | best_params={'C': 10.0}
2026-02-18 16:54:10 | INFO     | src.models.train                    | Best model selected: LogisticRegression  (cv_f1=0.5073)
2026-02-18 16:54:10 | INFO     | src.models.evaluate                 | Evaluating model: LogisticRegression  [100 samples]
2026-02-18 16:54:10 | INFO     | src.models.evaluate                 | LogisticRegression results — accuracy=0.5800  precision=0.6077  recall=0.5800  f1=0.5824  roc_auc=0.6618
2026-02-18 16:54:10 | INFO     | src.models.evaluate                 | Evaluating model: RandomForest  [100 samples]
2026-02-18 16:54:10 | INFO     | src.models.evaluate                 | RandomForest results — accuracy=0.5700  precision=0.5653  recall=0.5700  f1=0.5672  roc_auc=0.5577
2026-02-18 16:54:30 | INFO     | src.data.ingestion                  | Generating synthetic loan dataset  [n=600]
2026-02-18 16:54:30 | INFO     | src.data.ingestion                  | Synthetic dataset ready — (600, 9), default_rate=44.50%
2026-02-18 16:54:30 | INFO     | src.data.ingestion                  | Split — train=480  test=120  pos_rate=44.58%
2026-02-18 16:54:30 | INFO     | src.features.feature_engineering    | Running feature engineering on training data …
2026-02-18 16:54:30 | INFO     | src.features.feature_engineering    | Feature engineering complete — 6 new columns: ['loan_to_income', 'income_per_account', 'credit_tier', 'age_bracket', 'high_risk_flag', 'employment_stability']
2026-02-18 16:54:30 | INFO     | src.data.preprocessing              | Fitting preprocessing pipeline …
2026-02-18 16:54:30 | INFO     | src.data.preprocessing              | Pipeline — numeric=['income', 'age', 'loan_amount', 'credit_score', 'employment_years', 'debt_ratio', 'num_accounts', 'loan_to_income', 'income_per_account', 'high_risk_flag', 'employment_stability'], categorical=['employment_type', 'credit_tier', 'age_bracket']
2026-02-18 16:54:30 | INFO     | src.data.preprocessing              | Preprocessing complete — train shape: (480, 21), test shape:  (120, 21)
2026-02-18 16:54:30 | INFO     | src.data.preprocessing              | Preprocessor saved ➜ /Users/eolaw/Desktop/ml-pipeline-deployment-system/models/preprocessor_v1.pkl
2026-02-18 16:54:30 | INFO     | src.models.train                    | Starting model training — 2 candidates, CV=5, scoring='f1'
2026-02-18 16:54:30 | INFO     | src.models.train                    |   Training: RandomForest …
2026-02-18 16:54:34 | INFO     | src.models.train                    |   RandomForest — best_cv_f1=0.4612 (std=0.0466) | best_params={'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}
2026-02-18 16:54:34 | INFO     | src.models.train                    |   Training: LogisticRegression …
2026-02-18 16:54:34 | INFO     | src.models.train                    |   LogisticRegression — best_cv_f1=0.5109 (std=0.0511) | best_params={'C': 10.0}
